Date,Grand_Prix,Winner,Team,Laps,RaceTime_sec,AVG_Lap_Time_sec
2020-10-11,Eifel,LewisHamilton,Mercedes,60,5749,95.81666666666666
2020-09-27,Russia,ValtteriBottas,Mercedes,53,5640,106.41509433962264
2020-09-13,Tuscany,LewisHamilton,Mercedes,59,8375,141.94915254237287
2020-09-06,Italy,PierreGasly,AlphaTauri Honda,53,6426,121.24528301886792
2020-08-30,Belgium,LewisHamilton,Mercedes,44,5048,114.72727272727273
2020-08-16,Spain,LewisHamilton,Mercedes,66,5505,83.4090909090909
2020-08-09,70th Anniversary,MaxVerstappen,Red Bull Racing Honda,52,4781,91.9423076923077
2020-08-02,Great Britain,LewisHamilton,Mercedes,52,5281,101.5576923076923
2020-07-19,Hungary,LewisHamilton,Mercedes,70,5772,82.45714285714286
2020-07-12,Styria,LewisHamilton,Mercedes,71,4970,70.0
2020-07-05,Austria,ValtteriBottas,Mercedes,71,5455,76.83098591549296
2019-12-01,Abu Dhabi,LewisHamilton,Mercedes,55,5645,102.63636363636364
2019-11-17,Brazil,MaxVerstappen,Red Bull Racing Honda,71,5594,78.78873239436619
2019-11-03,United States,ValtteriBottas,Mercedes,56,5635,100.625
2019-10-27,Mexico,LewisHamilton,Mercedes,71,5808,81.80281690140845
2019-10-13,Japan,ValtteriBottas,Mercedes,52,4906,94.34615384615384
2019-09-29,Russia,LewisHamilton,Mercedes,53,5618,106.0
2019-09-22,Singapore,SebastianVettel,Ferrari,61,7113,116.60655737704919
2019-09-08,Italy,CharlesLeclerc,Ferrari,53,4526,85.39622641509433
2019-09-01,Belgium,CharlesLeclerc,Ferrari,44,5025,114.20454545454545
2019-08-04,Hungary,LewisHamilton,Mercedes,70,5703,81.47142857142858
2019-07-28,Germany,MaxVerstappen,Red Bull Racing Honda,64,6271,97.984375
2019-07-14,Great Britain,LewisHamilton,Mercedes,52,4868,93.61538461538461
2019-06-30,Austria,MaxVerstappen,Red Bull Racing Honda,71,4921,69.30985915492958
2019-06-23,France,LewisHamilton,Mercedes,53,5071,95.67924528301887
2019-06-09,Canada,LewisHamilton,Mercedes,70,5347,76.38571428571429
2019-05-26,Monaco,LewisHamilton,Mercedes,78,6208,79.58974358974359
2019-05-12,Spain,LewisHamilton,Mercedes,66,5750,87.12121212121212
2019-04-28,Azerbaijan,ValtteriBottas,Mercedes,51,5512,108.07843137254902
2019-04-14,China,LewisHamilton,Mercedes,56,5526,98.67857142857143
2019-03-31,Bahrain,LewisHamilton,Mercedes,57,5661,99.3157894736842
